user,time,daily_usd_volume,cumulative_usd_volume,trade_count,liquidation_notional
0x00c02e2fa3b4160ab12827f80f9b9a3f035dab0c,2025-02-01,330185864.00635314,330185864.00635314,,
0x00c02e2fa3b4160ab12827f80f9b9a3f035dab0c,2025-02-02,380192174.9579273,710378038.9642804,,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-07-31,36817981.71500635,36817981.71500635,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-01,43824855.159460954,80642836.87446731,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-02,55490143.5817337,136132980.45620102,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-03,34290177.90287808,170423158.3590791,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-04,45940907.46323371,216364065.8223128,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-06,34617910.21894091,250981976.04125372,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-07,60781997.8254361,311763973.8666898,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-08,62205105.468064494,373969079.3347543,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-09,42340094.87948209,416309174.2142364,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-10,29132631.774385553,445441805.98862195,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-11,45001657.077283196,490443463.06590515,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-12,55044125.917477846,545487588.9833829,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-13,71388555.35302393,616876144.336407,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-14,94899643.7722531,711775788.10866,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-15,103886022.52905509,815661810.6377151,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-16,91192865.28084348,906854675.9185586,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-17,40685473.20198774,947540149.1205463,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-18,48976796.000152394,996516945.1206987,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-19,98105582.97791635,1094622528.0986152,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-20,85667213.75823706,1180289741.856852,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-21,100847736.44306989,1281137478.299922,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-22,83506996.17626995,1364644474.476192,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-23,117023979.98536478,1481668454.4615567,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-24,82912398.56977876,1564580853.0313356,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-25,62470649.78246828,1627051502.813804,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-26,88681409.91126469,1715732912.7250686,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-27,178762947.85995397,1894495860.5850224,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-28,172550102.81219122,2067045963.3972137,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-29,108450271.39398675,2175496234.7912006,38942030.0,
0x023a3d058020fb76cca98f01b3c48c8938a22355,2024-08-30,118991721.86702043,2294487956.658221,38942030.0,
